"","x"
"1","100201235"
"2","102304535"
"3","100169835"
"4","101383035"
"5","100017835"
"6","100299835"
"7","102404035"
"8","100027635"
"9","100432735"
"10","100016435"
"11","100595835"
"12","100599835"
"13","100524435"
"14","100852535"
"15","102192035"
"16","102160135"
"17","101921535"
"18","101920135"
"19","102199935"
"20","102283735"
"21","101241935"
"22","100757835"
"23","100076935"
"24","100140935"
"25","100023535"
"26","100446235"
"27","100475535"
"28","100383835"
"29","101032235"
"30","101531635"
"31","102149435"
"32","102252035"
"33","101109635"
"34","100092535"
"35","102189035"
"36","101514435"
"37","100123435"
"38","100531335"
"39","100392335"
"40","102145935"
"41","102300235"
"42","100403035"
"43","102091235"
"44","102226135"
"45","102016735"
"46","102015135"
"47","100976935"
"48","100752035"
"49","100889435"
"50","101354835"
"51","100841835"
"52","100685835"
"53","100583735"
"54","100601135"
"55","100587635"
"56","102273535"
"57","100241735"
"58","101266635"
"59","101043135"
"60","100818835"
"61","102404135"
"62","100117235"
"63","100494035"
"64","101714735"
"65","102560935"
"66","102590135"
"67","100594035"
"68","102213135"
"69","102271035"
"70","101644535"
"71","100511135"
"72","100584035"
"73","100595535"
"74","100157235"
"75","101901035"
"76","100003235"
"77","100051835"
"78","100108435"
"79","102109435"
"80","100015535"
"81","100450935"
"82","100732135"
"83","102267135"
"84","102277935"
"85","100494735"
"86","100034635"
"87","100518835"
"88","102084235"
"89","101910435"
"90","101344035"
"91","101278235"
"92","101274335"
"93","100118535"
"94","100242035"
"95","100225635"
"96","100242635"
"97","100121535"
"98","100434735"
"99","101866735"
"100","100030635"
"101","100602835"
"102","102566835"
"103","102552735"
"104","101281235"
"105","100391035"
"106","101527635"
"107","102244735"
"108","100268235"
"109","100144435"
"110","101401635"
"111","100736535"
"112","102066435"
"113","101030335"
"114","100309235"
"115","100707535"
"116","102343635"
"117","102581435"
"118","100989235"
"119","101889335"
"120","101352835"
"121","102159635"
"122","101280735"
"123","100507835"
"124","100245135"
"125","100397735"
"126","101701735"
"127","100496135"
"128","100241235"
"129","102198535"
"130","101036335"
"131","100994135"
"132","100842035"
"133","101559335"
"134","100575835"
"135","100113435"
"136","100023235"
"137","102149035"
"138","100730535"
"139","101555735"
"140","100683735"
"141","102131735"
"142","102088835"
"143","101579335"
"144","101997335"
"145","101536335"
"146","100147835"
"147","102039935"
"148","102296435"
"149","101567135"
"150","102031735"
"151","100318435"
"152","100115135"
"153","100231935"
"154","100853235"
"155","101935535"
"156","100841935"
"157","100266335"
"158","100306835"
"159","101915235"
"160","100802435"
"161","102166835"
"162","102202135"
"163","100378535"
"164","102331635"
"165","100569235"
"166","100581035"
"167","101983635"
"168","100752735"
"169","102525335"
"170","102139035"
"171","102206735"
"172","102064035"
"173","102249935"
"174","102106335"
"175","101265235"
"176","102366735"
"177","102376035"
"178","102101235"
"179","100449335"
"180","100486235"
"181","101859635"
"182","102200635"
"183","102324535"
"184","102097035"
"185","102493235"
"186","102032335"
"187","102113235"
"188","100743635"
"189","101932035"
"190","102010235"
"191","100603635"
"192","100986735"
"193","100883835"
"194","101027735"
"195","100796535"
"196","102181435"
"197","100352535"
"198","102182035"
"199","102315135"
"200","101591535"
"201","102125635"
"202","100835935"
"203","102363535"
"204","102384135"
"205","100881235"
"206","102604635"
"207","102225335"
"208","101505535"
"209","102040635"
"210","102329135"
"211","102238935"
"212","102288235"
"213","102226735"
"214","102352035"
"215","102284135"
"216","100038235"
"217","100082035"
"218","101564635"
"219","102514935"
"220","102529935"
"221","100481535"
"222","101302735"
"223","101984635"
"224","101699835"
"225","100503635"
"226","102029335"
"227","100960035"
"228","102286735"
"229","101913135"
"230","100483835"
"231","100460135"
"232","100348235"
"233","100053535"
"234","100146935"
"235","100019535"
"236","100572435"
"237","100142635"
"238","101109935"
"239","102545135"
"240","100029935"
"241","100584735"
"242","100587835"
"243","100102535"
"244","101381335"
"245","100220135"
"246","100473635"
"247","100696535"
"248","102662635"
"249","100005235"
"250","100505735"
"251","100496735"
"252","102234935"
"253","101912335"
"254","100394335"
"255","100749535"
"256","100485835"
"257","101981335"
"258","102001935"
"259","100744235"
"260","100746535"
"261","101381135"
"262","101382735"
"263","100427735"
"264","100681435"
"265","100501835"
"266","101399335"
"267","100335635"
"268","101865235"
"269","100525835"
"270","100524035"
"271","100638735"
"272","100599335"
"273","102583035"
"274","101262435"
"275","102258435"
"276","100253835"
"277","100254835"
"278","101357035"
"279","100379335"
"280","101986235"
"281","101241835"
"282","100406235"
"283","102513435"
"284","100352935"
"285","101514335"
"286","102350935"
"287","102025635"
"288","101989335"
"289","100366535"
"290","102103935"
"291","102571135"
"292","100572835"
"293","102137335"
"294","100698635"
"295","101105835"
"296","102003835"
"297","100058535"
"298","100139435"
"299","101349335"
"300","101932635"
"301","102247335"
"302","102230635"
"303","100580135"
"304","100113135"
"305","101291935"
"306","100316935"
"307","101998235"
"308","101025735"
"309","102366635"
"310","100998535"
"311","102303935"
"312","100731935"
"313","101517835"
"314","102003635"
"315","101977035"
"316","100838435"
"317","100837835"
"318","100165935"
"319","102560335"
"320","102650235"
"321","100139735"
"322","100682435"
"323","100479535"
"324","100704235"
"325","100807235"
"326","100769235"
"327","101043635"
"328","100755635"
"329","102350835"
"330","102031335"
"331","101355135"
"332","100793335"
"333","102384235"
"334","101099835"
"335","101166435"
"336","102618235"
"337","100872435"
"338","102275935"
"339","101972835"
"340","101529335"
"341","101532835"
"342","102003935"
"343","101547935"
"344","100166335"
"345","100512035"
"346","101573735"
"347","100063935"
"348","100399135"
"349","100723535"
"350","101538435"
"351","102153135"
"352","100732335"
"353","100467635"
"354","100014135"
"355","102374435"
"356","101513135"
"357","102405635"
"358","100182935"
"359","102116435"
"360","102076335"
"361","102550735"
"362","100039235"
"363","102250935"
"364","100306235"
"365","101017535"
"366","102369835"
"367","100565435"
"368","101673735"
"369","100960735"
"370","102133335"
"371","101712935"
"372","100432935"
"373","100233435"
"374","102123935"
"375","102033035"
"376","102334335"
"377","100756235"
"378","102384535"
"379","100468835"
"380","102299935"
"381","101114335"
"382","100014635"
"383","102322135"
"384","100299535"
"385","102139935"
"386","101110135"
"387","101336635"
"388","100467835"
"389","101243035"
"390","101120935"
"391","100272935"
"392","102630635"
"393","102161635"
"394","100153535"
"395","101634535"
"396","101369035"
"397","100192635"
"398","100020935"
"399","100347935"
"400","101949035"
"401","102050035"
"402","100456535"
"403","101963435"
"404","100453335"
"405","100383335"
"406","100408335"
"407","100343835"
"408","102084735"
"409","101960235"
"410","101914535"
"411","100636135"
"412","100336235"
"413","101262335"
"414","100009635"
"415","100382135"
"416","100002335"
"417","100485635"
"418","100064635"
"419","102088235"
"420","100468335"
"421","102040535"
"422","101973435"
"423","101504635"
"424","102566935"
"425","100695735"
"426","100079135"
"427","102089235"
"428","101023835"
"429","101904935"
"430","102015335"
"431","100303935"
"432","102352935"
"433","101909635"
"434","102303835"
"435","100054435"
"436","100453635"
"437","101237535"
"438","100014435"
"439","100451235"
"440","100417935"
"441","100834435"
"442","100000135"
"443","100166135"
"444","100479635"
"445","102285435"
"446","101904035"
"447","101673835"
"448","101948835"
"449","101929835"
"450","101712335"
"451","100753935"
"452","102136635"
"453","101505835"
"454","102091635"
"455","102042935"
"456","101670335"
"457","101648035"
"458","102099635"
"459","100395535"
"460","101265035"
"461","102006335"
"462","100588735"
"463","102013935"
"464","100066235"
"465","100032935"
"466","100006935"
"467","100593235"
"468","102592435"
"469","100122735"
"470","100113735"
"471","100480535"
"472","100563435"
"473","102560435"
"474","100136635"
"475","100367935"
"476","100440135"
"477","100074935"
"478","102281335"
"479","102008035"
"480","102403535"
"481","100461535"
"482","101867335"
"483","101379435"
"484","101248435"
"485","101121335"
"486","101033635"
"487","100963435"
"488","100582235"
"489","100241935"
"490","100713735"
"491","101508635"
"492","100336435"
"493","102279835"
"494","102302935"
"495","100961235"
"496","101882635"
"497","100123535"
"498","102174135"
"499","101635835"
"500","101536835"
"501","101515335"
"502","100641435"
"503","100023935"
"504","100056135"
"505","100050535"
"506","100014935"
"507","102536035"
"508","100029235"
"509","102353635"
"510","100811935"
"511","100961035"
"512","102223635"
"513","101011735"
"514","102218635"
"515","100072435"
"516","101164235"
"517","100387935"
"518","100463335"
"519","102208035"
"520","101913735"
"521","100731635"
"522","102341335"
"523","101097235"
"524","100163935"
"525","100419335"
"526","100696835"
"527","100844435"
"528","100888735"
"529","100604935"
"530","100734235"
"531","101506635"
"532","100203535"
"533","100206535"
"534","102186235"
"535","102549135"
"536","102496535"
"537","100030035"
"538","102126035"
"539","102088735"
"540","101123535"
"541","101882235"
"542","100990935"
"543","100092235"
"544","100196135"
"545","100854535"
"546","101401935"
"547","100790935"
"548","101035935"
"549","100409435"
"550","100358035"
"551","100202135"
"552","102033235"
"553","100240135"
"554","100126435"
"555","101160835"
"556","100446135"
"557","100494835"
"558","102069735"
"559","102394535"
"560","101511935"
"561","100703535"
"562","101531035"
"563","100050435"
"564","100718935"
"565","100733235"
"566","101780132"
"567","100048635"
"568","100162035"
"569","100577335"
"570","100640035"
"571","100464235"
"572","100837735"
"573","101506335"
"574","102131135"
"575","102050835"
"576","101506535"
"577","102175735"
"578","102321835"
"579","102248935"
"580","101350435"
"581","100807935"
"582","100697635"
"583","100685135"
"584","101669135"
"585","102258935"
"586","101997435"
"587","100047235"
"588","100098835"
"589","102148235"
"590","101517035"
"591","101638735"
"592","100049835"
"593","100255235"
"594","100997235"
"595","102145335"
"596","100566335"
"597","102058235"
"598","101894635"
"599","100946235"
"600","102118735"
"601","100260835"
"602","102353435"
"603","101985935"
"604","101352235"
"605","101510735"
"606","101713535"
"607","100513335"
"608","100583635"
"609","100591335"
"610","100528435"
"611","100015435"
"612","100585635"
"613","102148035"
"614","102029635"
"615","100744735"
"616","101867935"
"617","100797735"
"618","100079835"
"619","100430335"
"620","100072735"
"621","100127135"
"622","101573235"
"623","101024835"
"624","101105235"
"625","101173135"
"626","100364935"
"627","102327535"
"628","100300135"
"629","102288735"
"630","100279535"
"631","102329935"
"632","101980435"
"633","101645235"
"634","101932835"
"635","102068935"
"636","102140635"
"637","102112835"
"638","101524335"
"639","102372335"
"640","102349535"
"641","101015935"
"642","102217635"
"643","101558435"
"644","101515535"
"645","100154835"
"646","100147535"
"647","100608135"
"648","100598935"
"649","101952635"
"650","101533335"
"651","101987435"
"652","101883835"
"653","101972635"
"654","100986635"
"655","100399835"
"656","101987635"
"657","100002535"
"658","100586735"
"659","100589535"
"660","100060235"
"661","100203835"
"662","100048335"
"663","100452035"
"664","102040735"
"665","100360335"
"666","100756735"
"667","100381735"
"668","102246535"
"669","100047835"
"670","100089135"
"671","100480135"
"672","100566435"
"673","100272235"
"674","100269835"
"675","102311535"
"676","101537335"
"677","100776335"
"678","102272435"
"679","100050735"
"680","100473135"
"681","100391335"
"682","102046735"
"683","102015435"
"684","102152135"
"685","102154035"
"686","102569635"
"687","102525835"
"688","100027235"
"689","100565235"
"690","100517335"
"691","101012535"
"692","101865535"
"693","102160435"
"694","102386935"
"695","102500935"
"696","102066935"
"697","100367135"
"698","100051235"
"699","100490535"
"700","101282435"
"701","102157635"
"702","101640335"
"703","100262335"
"704","100566835"
"705","100852835"
"706","101560035"
"707","100607035"
"708","102090635"
"709","101639235"
"710","102286335"
"711","102026535"
"712","100014235"
"713","100013735"
"714","100589735"
"715","102282535"
"716","100996935"
"717","102158335"
"718","100057235"
"719","100085435"
"720","100089435"
"721","102006435"
"722","100819135"
"723","100080835"
"724","100367035"
"725","102090035"
"726","100391735"
"727","102183735"
"728","100383935"
"729","100960235"
"730","102125135"
"731","100964035"
"732","101781932"
"733","102050735"
"734","100853735"
"735","100855035"
"736","100852035"
"737","100998935"
"738","101906435"
"739","101918535"
"740","100999035"
"741","100996135"
"742","100261735"
"743","101014135"
"744","101007135"
"745","100200835"
"746","101924335"
"747","102346535"
"748","100170235"
"749","100740635"
"750","100379635"
"751","100705935"
"752","101916435"
"753","101917635"
"754","100853335"
"755","100308035"
"756","100306635"
"757","101901335"
"758","101889035"
"759","102026235"
"760","102353335"
"761","102353535"
"762","101984835"
"763","101981835"
"764","102030335"
"765","102032935"
"766","102111135"
"767","100963535"
"768","101780832"
"769","101781832"
"770","102269635"
"771","102271235"
"772","102270335"
"773","102319335"
"774","101919135"
"775","102237835"
"776","102230035"
"777","102267335"
"778","101912635"
"779","100742635"
"780","102265335"
"781","101956235"
"782","102253935"
"783","102276435"
"784","102271535"
"785","101881135"
"786","102068535"
"787","102353035"
"788","102368635"
"789","102023035"
"790","101509735"
"791","102362435"
"792","102361235"
"793","102020335"
"794","102377635"
"795","102037035"
"796","100830535"
"797","100584435"
"798","101862335"
"799","102592635"
"800","100065835"
"801","102018035"
"802","102525935"
"803","102509935"
"804","102017135"
"805","102236035"
"806","101899035"
"807","101985635"
"808","102339435"
"809","101535435"
"810","102380135"
"811","100136935"
"812","100485035"
"813","100323935"
"814","102498235"
"815","100561135"
"816","100389235"
"817","102171735"
"818","100318935"
"819","102300535"
"820","100417735"
"821","100342635"
"822","100170135"
"823","100171335"
"824","101877435"
"825","101887735"
"826","100735435"
"827","101880035"
"828","102049535"
"829","102355535"
"830","102550435"
"831","102571735"
"832","100022235"
"833","100599535"
"834","100332735"
"835","100945035"
"836","102502135"
"837","101934035"
"838","102000935"
"839","102003035"
"840","100883535"
"841","101691535"
"842","101710935"
"843","101712135"
"844","102560135"
